,show_id,title,country,year_added,release_year,latest_release_year,seasons,runtimeMinutes,genres,main_category,audience_rating,averageRating,numVotes
62,80145087,Rapture,United States,2018,2017,2018,1,0,Horror,Docuseries,4,5.1,8
63,80227516,Chosen,China,2019,2004,2019,2,30,Drama,Crime TV Shows,4,6.4,8
64,80117557,Messiah,United States,2020,1982,2020,1,155,Music,TV Dramas,4,8.0,8
65,80108985,Caught On Camera,United Kingdom,2016,1994,2015,3,30,Documentary,British TV Shows,3,5.9,8
66,81041002,Z4,Brazil,2019,2018,2018,2,30,Musical,Kids' TV,2,7.3,9
67,70205714,Rubi,Mexico,2017,2010,2004,1,0,Drama,International TV Shows,2,5.6,9
68,80157488,The Truth,Unspecified,2017,2017,2008,1,25,Action,Crime TV Shows,3,9.3,9
69,80176179,Hogie The Globehopper,United States,2017,2016,2016,1,0,Animation,Kids' TV,1,6.6,10
70,80111818,Be With Me,Taiwan,2016,2015,2015,1,70,Drama,International TV Shows,3,7.0,10
71,80116939,Be With You,Taiwan,2016,2015,2015,1,48,Drama,International TV Shows,3,6.1,10
72,81029634,For The Win,Unspecified,2018,2017,2017,1,0,Sport,Reality TV,3,3.9,10
73,81191473,Candy Online,Taiwan,2019,2019,2019,1,0,Drama,International TV Shows,4,5.5,10
74,80242950,Smoking,Japan,2018,2012,2018,1,0,Comedy,Crime TV Shows,4,7.9,10
75,80993774,Roonpi Secret Love,Thailand,2019,2016,2016,3,0,Romance,International TV Shows,2,6.9,10
76,81056491,True Tunes,Unspecified,2019,2019,2019,1,0,Family,Kids' TV,1,8.7,10
77,80174145,Loaded,United Kingdom,2018,2013,2017,1,0,Reality-TV,British TV Shows,3,5.9,10
78,80134695,Free Rein,United States,2019,2014,2019,3,24,Documentary,British TV Shows,1,8.8,10
79,80026224,Aquarius,United States,2017,1970,2016,2,0,Documentary,Crime TV Shows,4,6.3,10
80,80198306,Losers,Unspecified,2019,2014,2019,1,0,Short,Docuseries,4,2.8,10
81,80136796,Show Me The Money,Unspecified,2018,2008,2004,2,120,Game-Show,International TV Shows,3,5.1,11
82,80081705,Iris,South Korea,2018,1992,2009,1,288,Drama,International TV Shows,4,6.0,11
83,80042307,Some Assembly Required,Canada,2015,2011,2015,2,0,Comedy,Kids' TV,1,7.8,11
84,80122240,Khelti Hai Zindagi Aankh Micholi,India,2017,2013,2013,1,0,Drama,International TV Shows,3,6.2,11
85,70266023,Life On Location,United States,2015,2009,2009,1,9,Documentary,British TV Shows,1,7.5,11
86,81179882,La Robe De Mariee Des Cieux,Taiwan,2019,2004,2004,1,47,Drama,International TV Shows,3,5.6,11
87,81049578,Tango,Lebanon,2019,2010,2018,1,90,Drama,International TV Shows,3,6.1,11
88,80193978,Warrior,Denmark,2018,2018,2018,1,0,Crime,Crime TV Shows,4,7.3,11
89,80113641,Frequency,United States,2017,2013,2016,1,0,Fantasy,Crime TV Shows,3,4.3,11
90,80140939,Ex-Boyfriend,China,2017,2011,2011,1,0,Romance,International TV Shows,3,6.9,12
91,80196382,The A List,United Kingdom,2019,2010,2018,1,0,Comedy,British TV Shows,2,4.5,12
92,80122179,The Keepers,United States,2017,2017,2017,1,21,Action,Crime TV Shows,4,8.8,12
93,80157390,The Truth Seekers,Singapore,2017,2016,2016,1,45,Action,Crime TV Shows,3,7.4,12
94,80157457,Mystic Whispers,Unspecified,2017,2014,2014,1,26,Comedy,International TV Shows,3,7.6,12
95,80176872,Little Baby Bum: Nursery Rhyme Friends,Unspecified,2019,2016,2019,2,60,Animation,British TV Shows,1,5.8,12
96,80176819,Hidden Singer,South Korea,2017,2012,2015,1,70,Game-Show,International TV Shows,3,6.2,12
97,80154638,President,South Korea,2017,2010,2010,1,0,Drama,International TV Shows,3,7.0,12
98,81037237,"Heidi, Bienvenida A Casa",Argentina,2019,2017,2017,1,0,Comedy,Kids' TV,1,7.7,12
99,80995044,Man Vs Wild With Sunny Leone,Unspecified,2018,2018,2018,1,0,Reality-TV,International TV Shows,2,5.0,12
100,80166481,Locust,Russia,2017,2014,2014,1,0,Crime,Crime TV Shows,4,4.7,12
101,80109399,Kibaoh Klashers,China,2017,2017,2017,2,0,Adventure,Kids' TV,3,5.6,13
102,80122191,Maharakshak Devi,India,2017,2015,2015,1,35,Fantasy,International TV Shows,3,5.9,13
103,80122234,Bh Se Bhade,India,2018,2013,2013,1,40,Comedy,International TV Shows,2,5.5,13
104,80122238,The Golden Years With Javed Akhtar,India,2017,2016,2016,1,54,Drama,Docuseries,1,6.5,13
105,80178836,The House That Made Me,India,2017,2013,2015,3,20,Reality-TV,International TV Shows,2,5.8,13
106,80221272,Last Hope,Japan,2018,2013,2018,2,54,Drama,Anime Series,3,7.8,13
107,70241791,Dreamworks Kung Fu Panda Awesome Secrets,United States,2019,2008,2008,1,30,Animation,Kids' TV,2,6.1,13
108,81086462,The Yard,Turkey,2019,2016,2019,2,0,Reality-TV,Crime TV Shows,4,7.7,14
109,80122193,Badalte Rishton Ki Dastaan,India,2017,2013,2013,1,24,Drama,International TV Shows,3,5.7,14
110,81020692,Déjà Vu,Unspecified,2019,2007,2013,1,26,Comedy,International TV Shows,3,8.1,14
111,70281026,The Fear,United Kingdom,2017,2012,2012,1,25,Comedy,British TV Shows,4,7.7,14
112,80126566,Wartime Portraits,Poland,2016,2014,2014,1,25,History,Docuseries,4,6.4,14
113,80242137,Bangkok Love Stories: Objects Of Affection,Thailand,2019,2019,2019,1,0,Drama,International TV Shows,3,5.4,14
114,80214772,Bad Guys: Vile City,South Korea,2018,2017,2018,1,0,Crime,Crime TV Shows,4,8.6,15
115,81020066,Mighty Little Bheem: Diwali,India,2019,2019,2019,1,0,Animation,Kids' TV,1,6.6,15
116,80066800,Immortal Classic,South Korea,2016,2012,2012,1,75,Romance,International TV Shows,3,7.0,15
117,80095649,We'Re Lalaloopsy,United States,2017,2017,2017,1,0,Animation,Kids' TV,1,4.7,15
118,80109038,You'Re My Destiny,Taiwan,2016,2017,2008,1,60,Comedy,International TV Shows,3,7.8,15
119,70283263,Star-Crossed,United States,2015,2002,2014,1,60,Sport,Romantic TV Shows,3,7.6,15
120,80091341,Cuckoo,United Kingdom,2019,2012,2019,5,0,Comedy,British TV Shows,3,5.9,15
121,80104950,Deep,France,2016,2016,2016,1,0,Action,Crime TV Shows,4,6.2,15
122,80122192,Bhaage Re Mann,India,2017,2015,2015,1,40,Drama,International TV Shows,3,6.5,15
123,80121871,Rab Se Sohna Isshq,Unspecified,2017,2012,2012,1,0,Drama,International TV Shows,3,6.6,16
124,80140617,An Innocent Mistake,Taiwan,2017,2012,2012,1,75,Drama,International TV Shows,3,6.9,16
125,81161538,Lugar De Mulher,Brazil,2019,2019,2019,1,0,Comedy,International TV Shows,4,4.2,16
126,70205710,Rebelde,Mexico,2017,1989,2004,1,60,Drama,International TV Shows,3,6.4,16
127,80140362,Who'S The One,Taiwan,2017,2011,2011,1,0,Romance,International TV Shows,3,7.5,17
